guest_id,guest_name,email,phone,room_id,booking_date,start_date,end_date,is_current
1,Lisa Moore,lisa.moore14@example.com,2201345050885,876,2025-08-11,2025-11-15,,1
2,Susan Rodriguez,susan.rodriguez11@example.com,2201553587072,540,2025-08-24,2025-11-15,,1
3,Barbara Lopez,barbara.lopez27@example.com,2201294917102,1269,2024-07-09,2025-11-15,,1
4,Susan Moore,susan.moore3@example.com,2201454579595,753,2024-03-03,2025-11-15,,1
5,Matthew Jones,matthew.jones25@example.com,2201040212458,1685,2024-06-26,2025-11-15,,1
6,Jessica Anderson,jessica.anderson70@example.com,2201453620007,184,2025-01-03,2025-11-15,,1
7,Mary Brown,mary.brown61@example.com,2201519174855,3,2025-05-13,2025-11-15,,1
8,Richard Garcia,richard.garcia91@example.com,2201515635827,406,2023-10-13,2025-11-15,,1
9,Jennifer Brown,jennifer.brown34@example.com,2201131299291,1826,2023-12-31,2025-11-15,,1
10,Richard Rodriguez,richard.rodriguez60@example.com,nan,197,2024-01-05,2025-11-15,,1
11,Lisa Martin,lisa.martin47@example.com,2201172933487,581,2023-12-15,2025-11-15,,1
12,Christopher Wilson,christopher.wilson48@example.com,2201513904411,1685,2024-03-28,2025-11-15,,1
13,Joseph Gonzalez,joseph.gonzalez75@example.com,2201466126540,1191,2025-09-27,2025-11-15,,1
14,Margaret Johnson,margaret.johnson93@example.com,2201261264481,1618,2024-07-25,2025-11-15,,1
15,Robert Williams,unknown,2201339480689,183,2025-01-01,2025-11-15,,1
16,Charles Martin,charles.martin83@example.com,2201511040262,1787,2024-06-04,2025-11-15,,1
17,Betty Rodriguez,betty.rodriguez27@example.com,2201274415673,1157,2025-08-24,2025-11-15,,1
18,Linda Jones,linda.jones98@example.com,2201010775481,1292,2023-12-01,2025-11-15,,1
19,James Davis,unknown,2201332625414,819,2023-12-27,2025-11-15,,1
20,Karen Hernandez,karen.hernandez43@example.com,nan,1622,2023-10-30,2025-11-15,,1
21,Richard Martinez,richard.martinez21@example.com,2201363802391,1280,2024-07-27,2025-11-15,,1
22,Betty Jones,betty.jones76@example.com,2201268513801,202,2024-06-10,2025-11-15,,1
23,Sandra Hernandez,sandra.hernandez31@example.com,2201212179671,1946,2024-07-19,2025-11-15,,1
24,Linda Garcia,linda.garcia69@example.com,2201241863440,676,2023-11-03,2025-11-15,,1
25,Charles Jones,charles.jones77@example.com,2201023093784,90,2024-07-16,2025-11-15,,1
26,Elizabeth Johnson,elizabeth.johnson98@example.com,nan,1354,2024-03-03,2025-11-15,,1
27,Jessica Gonzalez,jessica.gonzalez22@example.com,2201126505450,1900,2024-07-03,2025-11-15,,1
28,Matthew Moore,matthew.moore19@example.com,2201020380543,918,2024-08-03,2025-11-15,,1
29,Jessica Brown,jessica.brown37@example.com,2201087364843,1597,2025-04-24,2025-11-15,,1
30,Matthew Wilson,matthew.wilson54@example.com,2201487774588,858,2024-03-02,2025-11-15,,1
31,Margaret Gonzalez,margaret.gonzalez51@example.com,nan,837,2024-03-27,2025-11-15,,1
32,Matthew Lopez,matthew.lopez91@example.com,nan,1372,2025-09-30,2025-11-15,,1
33,John Rodriguez,john.rodriguez73@example.com,2201219447860,682,2025-04-16,2025-11-15,,1
34,Joseph Gonzalez,joseph.gonzalez31@example.com,2201058317394,1368,2023-11-05,2025-11-15,,1
35,Jessica Rodriguez,jessica.rodriguez9@example.com,2201573333518,1990,2024-06-27,2025-11-15,,1
36,Patricia Wilson,patricia.wilson41@example.com,2201132131884,1704,2025-09-14,2025-11-15,,1
37,John Anderson,john.anderson50@example.com,2201431929326,163,2024-09-29,2025-11-15,,1
38,Robert Hernandez,robert.hernandez55@example.com,nan,949,2024-12-23,2025-11-15,,1
39,Betty Johnson,betty.johnson46@example.com,nan,1167,2023-12-04,2025-11-15,,1
40,Joseph Jackson,joseph.jackson91@example.com,nan,1562,2025-06-03,2025-11-15,,1
41,William Hernandez,william.hernandez41@example.com,2201572569534,1036,2025-02-28,2025-11-15,,1
42,John Davis,john.davis99@example.com,2201345626741,292,2024-04-09,2025-11-15,,1
43,James Davis,james.davis19@example.com,2201327941634,1997,2024-03-28,2025-11-15,,1
44,Karen Johnson,karen.johnson86@example.com,2201230314005,220,2024-02-07,2025-11-15,,1
45,Linda Rodriguez,linda.rodriguez12@example.com,2201440238115,662,2025-06-26,2025-11-15,,1
46,David Martin,david.martin10@example.com,2201557548343,275,2023-11-18,2025-11-15,,1
47,Charles Rodriguez,charles.rodriguez25@example.com,2201156466617,608,2024-10-13,2025-11-15,,1
48,Barbara Williams,barbara.williams53@example.com,nan,1085,2024-11-30,2025-11-15,,1
49,Matthew Anderson,matthew.anderson52@example.com,2201498557714,1408,2024-09-11,2025-11-15,,1
50,Richard Brown,richard.brown59@example.com,2201420163626,338,2024-11-18,2025-11-15,,1
51,Nancy Anderson,nancy.anderson38@example.com,2201467284662,71,2025-05-24,2025-11-15,,1
52,Barbara Jones,barbara.jones16@example.com,nan,1508,2024-06-12,2025-11-15,,1
53,Anthony Martin,anthony.martin87@example.com,2201288623820,115,2024-09-09,2025-11-15,,1
54,Nancy Davis,nancy.davis88@example.com,2201486019433,301,2023-12-27,2025-11-15,,1
55,Anthony Brown,anthony.brown48@example.com,nan,249,2024-08-28,2025-11-15,,1
56,Barbara Gonzalez,barbara.gonzalez96@example.com,2201428265902,1618,2025-09-21,2025-11-15,,1
57,Robert Wilson,robert.wilson86@example.com,2201093080357,876,2025-04-12,2025-11-15,,1
58,Michael Jones,michael.jones14@example.com,2201183914091,1254,2024-02-02,2025-11-15,,1
59,Margaret Anderson,margaret.anderson56@example.com,nan,815,2025-03-31,2025-11-15,,1
60,Thomas Garcia,thomas.garcia19@example.com,2201179342379,1883,2024-05-17,2025-11-15,,1
61,Mark Moore,mark.moore36@example.com,2201283734101,167,2025-01-09,2025-11-15,,1
62,Lisa Moore,unknown,2201534636421,1792,2024-01-16,2025-11-15,,1
63,Daniel Rodriguez,daniel.rodriguez99@example.com,2201320667560,580,2025-03-23,2025-11-15,,1
64,Mark Martin,mark.martin69@example.com,nan,750,2024-03-31,2025-11-15,,1
65,Robert Jackson,robert.jackson66@example.com,2201163919174,396,2025-01-28,2025-11-15,,1
66,Margaret Miller,margaret.miller75@example.com,2201018295589,234,2024-12-30,2025-11-15,,1
67,Jennifer Wilson,jennifer.wilson76@example.com,2201138066286,398,2024-01-27,2025-11-15,,1
68,Sandra Gonzalez,sandra.gonzalez76@example.com,nan,1710,2025-07-27,2025-11-15,,1
69,Jennifer Jackson,jennifer.jackson42@example.com,nan,543,2025-01-04,2025-11-15,,1
70,Anthony Brown,unknown,nan,552,2025-06-19,2025-11-15,,1
71,Karen Martinez,unknown,2201242847856,1715,2025-06-18,2025-11-15,,1
72,William Taylor,william.taylor11@example.com,2201427151469,743,2024-05-18,2025-11-15,,1
73,Anthony Wilson,anthony.wilson29@example.com,2201590790002,136,2024-12-05,2025-11-15,,1
74,Mary Brown,mary.brown49@example.com,2201467949886,450,2025-01-31,2025-11-15,,1
75,Christopher Garcia,christopher.garcia56@example.com,2201330909111,793,2024-05-21,2025-11-15,,1
76,Susan Garcia,susan.garcia33@example.com,2201527170221,654,2024-02-11,2025-11-15,,1
77,Charles Jackson,charles.jackson23@example.com,2201320235912,1407,2025-07-29,2025-11-15,,1
78,Michael Johnson,michael.johnson21@example.com,2201269275426,1487,2024-12-06,2025-11-15,,1
79,Thomas Jones,thomas.jones28@example.com,nan,1891,2024-04-09,2025-11-15,,1
80,Margaret Rodriguez,margaret.rodriguez17@example.com,2201512186475,764,2025-03-09,2025-11-15,,1
81,Susan Wilson,susan.wilson29@example.com,2201054295559,1554,2024-06-18,2025-11-15,,1
82,Jessica Miller,unknown,2201550522968,753,2025-02-19,2025-11-15,,1
83,Linda Moore,linda.moore42@example.com,2201113207197,1773,2024-08-05,2025-11-15,,1
84,Mark Taylor,unknown,2201471104272,95,2025-02-09,2025-11-15,,1
85,Linda Martinez,linda.martinez50@example.com,2201060102123,1934,2023-11-23,2025-11-15,,1
86,Jessica Brown,jessica.brown37@example.com,nan,1846,2025-08-08,2025-11-15,,1
87,Sandra Hernandez,unknown,2201336397529,857,2024-02-26,2025-11-15,,1
88,Sarah Jackson,sarah.jackson43@example.com,nan,1924,2023-11-26,2025-11-15,,1
89,Linda Brown,linda.brown1@example.com,2201348222135,1791,2025-09-06,2025-11-15,,1
90,Joseph Jackson,joseph.jackson13@example.com,nan,307,2024-08-23,2025-11-15,,1
91,Charles Taylor,charles.taylor20@example.com,2201338689196,1919,2025-07-02,2025-11-15,,1
92,David Rodriguez,david.rodriguez45@example.com,2201596187783,1597,2025-02-28,2025-11-15,,1
93,Linda Taylor,unknown,nan,1858,2024-01-15,2025-11-15,,1
94,Michael Johnson,michael.johnson1@example.com,2201563180960,884,2024-01-18,2025-11-15,,1
95,Jennifer Smith,jennifer.smith74@example.com,2201174653869,657,2025-06-02,2025-11-15,,1
96,Richard Lopez,richard.lopez89@example.com,2201335831687,972,2025-02-13,2025-11-15,,1
97,Sandra Brown,sandra.brown74@example.com,2201328168504,58,2025-09-09,2025-11-15,,1
98,Sarah Taylor,sarah.taylor84@example.com,2201284534336,868,2023-12-24,2025-11-15,,1
99,Daniel Moore,daniel.moore7@example.com,2201215489287,1923,2023-10-18,2025-11-15,,1
100,Charles Wilson,charles.wilson19@example.com,2201580405013,448,2023-10-12,2025-11-15,,1
101,Sarah Hernandez,sarah.hernandez12@example.com,2201530183308,165,2025-01-31,2025-11-15,,1
102,Nancy Martinez,nancy.martinez16@example.com,2201176765303,1713,2024-05-13,2025-11-15,,1
103,William Martinez,unknown,2201265142377,60,2024-05-15,2025-11-15,,1
104,Patricia Anderson,unknown,2201224685036,574,2025-01-16,2025-11-15,,1
105,Richard Jones,richard.jones3@example.com,2201119519636,2000,2024-01-07,2025-11-15,,1
106,Charles Jackson,charles.jackson27@example.com,2201221343863,1184,2024-11-20,2025-11-15,,1
107,Sarah Taylor,sarah.taylor75@example.com,2201362204756,1500,2024-03-26,2025-11-15,,1
108,Patricia Davis,patricia.davis2@example.com,2201441268016,589,2024-10-09,2025-11-15,,1
109,Mary Wilson,mary.wilson12@example.com,nan,763,2023-11-11,2025-11-15,,1
110,Christopher Rodriguez,christopher.rodriguez99@example.com,2201440948784,380,2024-07-05,2025-11-15,,1
111,Daniel Taylor,daniel.taylor17@example.com,2201116535451,1121,2025-02-25,2025-11-15,,1
112,Daniel Gonzalez,daniel.gonzalez97@example.com,2201520816504,180,2024-05-21,2025-11-15,,1
113,Mark Anderson,mark.anderson34@example.com,2201257803542,1167,2025-02-22,2025-11-15,,1
114,Christopher Brown,christopher.brown67@example.com,2201391012110,1157,2024-11-08,2025-11-15,,1
115,Jennifer Rodriguez,jennifer.rodriguez81@example.com,2201437607742,1059,2024-03-11,2025-11-15,,1
116,Margaret Jones,margaret.jones87@example.com,2201269117603,723,2024-04-20,2025-11-15,,1
117,Patricia Moore,patricia.moore49@example.com,2201185070335,310,2024-11-12,2025-11-15,,1
118,Sarah Martinez,sarah.martinez97@example.com,nan,1591,2025-09-23,2025-11-15,,1
119,Joseph Martinez,unknown,2201582821259,1519,2024-10-15,2025-11-15,,1
120,Charles Miller,charles.miller84@example.com,2201237784040,1133,2024-04-02,2025-11-15,,1
121,Mark Garcia,mark.garcia86@example.com,2201495016691,1877,2025-02-21,2025-11-15,,1
122,Sarah Williams,sarah.williams46@example.com,2201084192581,49,2024-02-26,2025-11-15,,1
123,Jessica Hernandez,jessica.hernandez11@example.com,2201181598324,1898,2025-06-12,2025-11-15,,1
124,Anthony Martinez,anthony.martinez56@example.com,2201031124897,1454,2024-03-02,2025-11-15,,1
125,Robert Moore,robert.moore83@example.com,2201497614770,1435,2024-10-09,2025-11-15,,1
126,Jessica Lopez,jessica.lopez87@example.com,2201156631551,1512,2024-05-06,2025-11-15,,1
127,David Smith,unknown,2201139091368,134,2024-04-24,2025-11-15,,1
128,William Jackson,william.jackson61@example.com,nan,1002,2025-09-30,2025-11-15,,1
129,James Garcia,james.garcia37@example.com,2201468940750,931,2024-09-16,2025-11-15,,1
130,Elizabeth Jones,elizabeth.jones15@example.com,2201411146861,1746,2024-06-18,2025-11-15,,1
131,Richard Jones,unknown,2201095440065,1341,2024-09-23,2025-11-15,,1
132,Linda Hernandez,linda.hernandez37@example.com,nan,442,2024-01-25,2025-11-15,,1
133,Jennifer Miller,jennifer.miller16@example.com,2201372539765,391,2024-12-24,2025-11-15,,1
134,Nancy Rodriguez,nancy.rodriguez58@example.com,2201186573191,1852,2024-04-14,2025-11-15,,1
135,Mark Martin,mark.martin28@example.com,2201089790485,1935,2024-10-26,2025-11-15,,1
136,William Johnson,unknown,2201560041590,914,2025-10-03,2025-11-15,,1
137,Susan Wilson,susan.wilson88@example.com,2201442119771,278,2025-05-22,2025-11-15,,1
138,Mark Garcia,mark.garcia11@example.com,2201372290368,1413,2025-06-30,2025-11-15,,1
139,William Garcia,william.garcia80@example.com,2201344036807,1353,2024-07-16,2025-11-15,,1
140,Susan Brown,susan.brown57@example.com,nan,1786,2025-05-27,2025-11-15,,1
141,Michael Miller,unknown,2201029938450,796,2023-11-02,2025-11-15,,1
142,Nancy Anderson,unknown,2201470044001,764,2024-12-05,2025-11-15,,1
143,Richard Anderson,richard.anderson1@example.com,2201423005237,920,2024-04-21,2025-11-15,,1
144,Sarah Hernandez,sarah.hernandez21@example.com,2201467038409,1845,2024-06-05,2025-11-15,,1
145,Elizabeth Smith,elizabeth.smith28@example.com,2201337177911,1830,2024-02-19,2025-11-15,,1
146,Patricia Jones,patricia.jones56@example.com,2201326050505,1125,2024-02-07,2025-11-15,,1
147,Barbara Davis,barbara.davis74@example.com,2201540682002,535,2024-10-06,2025-11-15,,1
148,Sandra Taylor,sandra.taylor69@example.com,2201558675949,1719,2023-10-15,2025-11-15,,1
149,Elizabeth Taylor,unknown,2201235528352,257,2024-05-22,2025-11-15,,1
150,Sarah Miller,sarah.miller40@example.com,2201524263961,1578,2024-10-29,2025-11-15,,1
151,Susan Smith,susan.smith38@example.com,nan,1078,2023-11-06,2025-11-15,,1
152,Matthew Anderson,matthew.anderson41@example.com,nan,1165,2024-02-11,2025-11-15,,1
153,Christopher Smith,christopher.smith87@example.com,2201379105362,689,2024-02-29,2025-11-15,,1
154,Karen Martin,karen.martin68@example.com,2201057796350,684,2024-07-20,2025-11-15,,1
155,Betty Davis,betty.davis76@example.com,2201143371682,1682,2023-11-17,2025-11-15,,1
156,Sarah Taylor,sarah.taylor66@example.com,2201572221112,1959,2024-07-30,2025-11-15,,1
157,James Gonzalez,james.gonzalez62@example.com,2201451054139,1220,2023-12-25,2025-11-15,,1
158,William Jackson,william.jackson12@example.com,2201434439208,1867,2024-01-23,2025-11-15,,1
159,Christopher Johnson,christopher.johnson91@example.com,2201047945477,1713,2025-05-26,2025-11-15,,1
160,Anthony Thomas,anthony.thomas62@example.com,2201445310172,1066,2024-09-08,2025-11-15,,1
161,Mary Smith,mary.smith75@example.com,2201265558734,381,2025-05-25,2025-11-15,,1
162,Barbara Wilson,barbara.wilson83@example.com,2201248993167,314,2024-02-07,2025-11-15,,1
163,Robert Anderson,unknown,nan,1538,2025-05-02,2025-11-15,,1
164,Thomas Smith,thomas.smith72@example.com,2201185564395,1113,2025-02-01,2025-11-15,,1
165,Susan Williams,susan.williams41@example.com,nan,877,2025-06-17,2025-11-15,,1
166,Barbara Davis,barbara.davis4@example.com,2201281982181,646,2024-05-09,2025-11-15,,1
167,Patricia Moore,patricia.moore44@example.com,2201423619737,843,2024-09-17,2025-11-15,,1
168,James Garcia,james.garcia99@example.com,2201116060083,1027,2024-06-25,2025-11-15,,1
169,Anthony Thomas,unknown,2201378053498,1674,2025-05-02,2025-11-15,,1
170,Nancy Williams,nancy.williams3@example.com,2201381946479,241,2025-09-18,2025-11-15,,1
171,Karen Brown,unknown,2201267148745,417,2025-06-09,2025-11-15,,1
