Branch_id,Branch_name,Location,Contact,Email,Room_id
1,Downtown Branch,Cairo - Tahrir Square,2.01014E+11,,
2,Luxor Nile Branch,Luxor - Nile Corniche,2.01049E+11,user2@example.com,287
3,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01072E+11,,
4,Aswan View Branch,Aswan - High Dam District,,,412
5,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,user5@example.com,
6,Aswan View Branch,Aswan - High Dam District,,user6@example.com,412
7,Luxor Nile Branch,Luxor - Nile Corniche,,user7@example.com,
8,Aswan View Branch,Aswan - High Dam District,2.01014E+11,,412
9,Giza Pyramids Branch,Giza - Haram Street,,,307
10,Alex Seaside Branch,Alexandria - Corniche,,alex_guest45@mail.com,204
11,Downtown Branch,Cairo - Tahrir Square,2.01022E+11,user11@example.com,
12,Alex Seaside Branch,Alexandria - Corniche,2.01068E+11,,
13,Aswan View Branch,Aswan - High Dam District,,,412
14,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,user14@example.com,411
15,Alex Seaside Branch,Alexandria - Corniche,,alex_guest45@mail.com,204
16,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,,110
17,Luxor Nile Branch,Luxor - Nile Corniche,,user17@example.com,102
18,Aswan View Branch,Aswan - High Dam District,,user18@example.com,412
19,Alex Seaside Branch,Alexandria - Corniche,2.01015E+11,,
20,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,,483
21,Aswan View Branch,Aswan - High Dam District,,,
22,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,user22@example.com,178
23,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,user23@example.com,
24,Alex Seaside Branch,Alexandria - Corniche,,user24@example.com,
25,Downtown Branch,Cairo - Tahrir Square,2.01022E+11,contact_cairo@hotelchain.com,
26,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,user26@example.com,137
27,Aswan View Branch,Aswan - High Dam District,,user27@example.com,412
28,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,,325
29,Aswan View Branch,Aswan - High Dam District,,,
30,Aswan View Branch,Aswan - High Dam District,,user30@example.com,
31,Alex Seaside Branch,Alexandria - Corniche,,,145
32,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01077E+11,mansoura_guest88@gmail.com,
33,Downtown Branch,Cairo - Tahrir Square,2.01022E+11,contact_cairo@hotelchain.com,349
34,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,user34@example.com,
35,Giza Pyramids Branch,Giza - Haram Street,,,307
36,Giza Pyramids Branch,Giza - Haram Street,,user36@example.com,
37,Aswan View Branch,Aswan - High Dam District,,,
38,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,user38@example.com,
