guest_id,guest_name,email,phone,room_id,book_date
1,Lisa Moore,lisa.moore14@example.com,2201345050885,876.0,2025-08-11
2,Susan Rodriguez,susan.rodriguez11@example.com,2201553587072,540.0,2025-08-24
3,Barbara Lopez,barbara.lopez27@example.com,2201294917102,1269.0,2024-07-09
4,Susan Moore,susan.moore3@example.com,2201454579595,753.0,2024-03-03
5,Matthew Jones,matthew.jones25@example.com,2201040212458,1685.0,2024-06-26
6,Jessica Anderson,jessica.anderson70@example.com,2201453620007,184.0,2025-01-03
7,Mary Brown,mary.brown61@example.com,2201519174855,3.0,2025-05-13
8,Richard Garcia,richard.garcia91@example.com,2201515635827,406.0,2023-10-13
9,Jennifer Brown,jennifer.brown34@example.com,2201131299291,1826.0,2023-12-31
10,Richard Rodriguez,richard.rodriguez60@example.com,nan,197.0,2024-01-05
11,Lisa Martin,lisa.martin47@example.com,2201172933487,581.0,2023-12-15
12,Christopher Wilson,christopher.wilson48@example.com,2201513904411,1685.0,2024-03-28
13,Joseph Gonzalez,joseph.gonzalez75@example.com,2201466126540,1191.0,2025-09-27
14,Margaret Johnson,margaret.johnson93@example.com,2201261264481,1618.0,2024-07-25
15,Robert Williams,,2201339480689,183.0,2025-01-01
16,Charles Martin,charles.martin83@example.com,2201511040262,1787.0,2024-06-04
17,Betty Rodriguez,betty.rodriguez27@example.com,2201274415673,1157.0,2025-08-24
18,Linda Jones,linda.jones98@example.com,2201010775481,1292.0,2023-12-01
19,James Davis,,2201332625414,819.0,2023-12-27
20,Karen Hernandez,karen.hernandez43@example.com,nan,1622.0,2023-10-30
21,Richard Martinez,richard.martinez21@example.com,2201363802391,1280.0,2024-07-27
22,Betty Jones,betty.jones76@example.com,2201268513801,202.0,2024-06-10
23,Sandra Hernandez,sandra.hernandez31@example.com,2201212179671,1946.0,2024-07-19
24,Linda Garcia,linda.garcia69@example.com,2201241863440,676.0,2023-11-03
25,Charles Jones,charles.jones77@example.com,2201023093784,90.0,2024-07-16
26,Elizabeth Johnson,elizabeth.johnson98@example.com,nan,1354.0,2024-03-03
27,Jessica Gonzalez,jessica.gonzalez22@example.com,2201126505450,1900.0,2024-07-03
28,Matthew Moore,matthew.moore19@example.com,2201020380543,918.0,2024-08-03
29,Jessica Brown,jessica.brown37@example.com,2201087364843,1597.0,2025-04-24
30,Matthew Wilson,matthew.wilson54@example.com,2201487774588,858.0,2024-03-02
31,Margaret Gonzalez,margaret.gonzalez51@example.com,nan,837.0,2024-03-27
32,Matthew Lopez,matthew.lopez91@example.com,nan,1372.0,2025-09-30
33,John Rodriguez,john.rodriguez73@example.com,2201219447860,682.0,2025-04-16
34,Joseph Gonzalez,joseph.gonzalez31@example.com,2201058317394,1368.0,2023-11-05
35,Jessica Rodriguez,jessica.rodriguez9@example.com,2201573333518,1990.0,2024-06-27
36,Patricia Wilson,patricia.wilson41@example.com,2201132131884,1704.0,2025-09-14
37,John Anderson,john.anderson50@example.com,2201431929326,163.0,2024-09-29
38,Robert Hernandez,robert.hernandez55@example.com,nan,949.0,2024-12-23
39,Betty Johnson,betty.johnson46@example.com,nan,1167.0,2023-12-04
40,Joseph Jackson,joseph.jackson91@example.com,nan,1562.0,2025-06-03
41,William Hernandez,william.hernandez41@example.com,2201572569534,1036.0,2025-02-28
42,John Davis,john.davis99@example.com,2201345626741,292.0,2024-04-09
43,James Davis,james.davis19@example.com,2201327941634,1997.0,2024-03-28
44,Karen Johnson,karen.johnson86@example.com,2201230314005,220.0,2024-02-07
45,Linda Rodriguez,linda.rodriguez12@example.com,2201440238115,662.0,2025-06-26
46,David Martin,david.martin10@example.com,2201557548343,275.0,2023-11-18
47,Charles Rodriguez,charles.rodriguez25@example.com,2201156466617,608.0,2024-10-13
48,Barbara Williams,barbara.williams53@example.com,nan,1085.0,2024-11-30
49,Matthew Anderson,matthew.anderson52@example.com,2201498557714,1408.0,2024-09-11
50,Richard Brown,richard.brown59@example.com,2201420163626,338.0,2024-11-18
51,Nancy Anderson,nancy.anderson38@example.com,2201467284662,71.0,2025-05-24
52,Barbara Jones,barbara.jones16@example.com,nan,1508.0,2024-06-12
53,Anthony Martin,anthony.martin87@example.com,2201288623820,115.0,2024-09-09
54,Nancy Davis,nancy.davis88@example.com,2201486019433,301.0,2023-12-27
55,Anthony Brown,anthony.brown48@example.com,nan,249.0,2024-08-28
56,Barbara Gonzalez,barbara.gonzalez96@example.com,2201428265902,1618.0,2025-09-21
57,Robert Wilson,robert.wilson86@example.com,2201093080357,876.0,2025-04-12
58,Michael Jones,michael.jones14@example.com,2201183914091,1254.0,2024-02-02
59,Margaret Anderson,margaret.anderson56@example.com,nan,815.0,2025-03-31
60,Thomas Garcia,thomas.garcia19@example.com,2201179342379,1883.0,2024-05-17
61,Mark Moore,mark.moore36@example.com,2201283734101,167.0,2025-01-09
62,Lisa Moore,,2201534636421,1792.0,2024-01-16
63,Daniel Rodriguez,daniel.rodriguez99@example.com,2201320667560,580.0,2025-03-23
64,Mark Martin,mark.martin69@example.com,nan,750.0,2024-03-31
65,Robert Jackson,robert.jackson66@example.com,2201163919174,396.0,2025-01-28
66,Margaret Miller,margaret.miller75@example.com,2201018295589,234.0,2024-12-30
67,Jennifer Wilson,jennifer.wilson76@example.com,2201138066286,398.0,2024-01-27
68,Sandra Gonzalez,sandra.gonzalez76@example.com,nan,1710.0,2025-07-27
69,Jennifer Jackson,jennifer.jackson42@example.com,nan,543.0,2025-01-04
70,Anthony Brown,,nan,552.0,2025-06-19
71,Karen Martinez,,2201242847856,1715.0,2025-06-18
72,William Taylor,william.taylor11@example.com,2201427151469,743.0,2024-05-18
73,Anthony Wilson,anthony.wilson29@example.com,2201590790002,136.0,2024-12-05
74,Mary Brown,mary.brown49@example.com,2201467949886,450.0,2025-01-31
75,Christopher Garcia,christopher.garcia56@example.com,2201330909111,793.0,2024-05-21
76,Susan Garcia,susan.garcia33@example.com,2201527170221,654.0,2024-02-11
77,Charles Jackson,charles.jackson23@example.com,2201320235912,1407.0,2025-07-29
78,Michael Johnson,michael.johnson21@example.com,2201269275426,1487.0,2024-12-06
79,Thomas Jones,thomas.jones28@example.com,nan,1891.0,2024-04-09
80,Margaret Rodriguez,margaret.rodriguez17@example.com,2201512186475,764.0,2025-03-09
